#Wavel    Fitted (")   Raw (")
 50.0     9.05361     9.24841
 51.0     9.04822     9.22790
 52.0     9.04283     9.20740
 53.0     9.03744     9.18690
 54.0     9.03205     9.16640
 55.0     9.02665     9.14590
 56.0     9.02126     9.12539
 57.0     9.01587     9.10489
 58.0     9.01048     9.08439
 59.0     9.00509     9.06389
 60.0     8.99969     9.04338
 61.0     8.99430     9.02288
 62.0     8.98891     9.00238
 63.0     8.98520     8.99000
 64.0     8.98318     8.98574
 65.0     8.98116     8.98149
 66.0     8.97914     8.97723
 67.0     8.97711     8.97297
 68.0     8.97509     8.96872
 69.0     8.97580     8.88801
 70.0     8.97651     8.94585
 71.0     8.97722     9.00368
 72.0     8.97794     9.06152
 73.0     8.97931     8.96879
 74.0     8.98187     8.92873
 75.0     8.98490     8.89758
 76.0     8.99052     8.91598
 77.0     8.99614     8.93438
 78.0     9.00176     8.95278
 79.0     9.00738     8.97118
 80.0     9.01300     8.98957
 81.0     9.01862     9.00797
 82.0     9.02424     9.02637
 83.0     9.02986     9.04477
 84.0     9.03548     9.06316
 85.0     9.04621     9.05775
 86.0     9.05694     9.05234
 87.0     9.06767     9.04693
 88.0     9.07840     9.04152
 89.0     9.08913     9.03611
 90.0     9.09986     9.03070
 91.0     9.11059     9.02529
 92.0     9.12132     9.01988
 93.0     9.13205     9.01447
 94.0     9.14423     9.01432
 95.0     9.16223     9.03524
 96.0     9.18023     9.05616
 97.0     9.19823     9.07708
 98.0     9.21623     9.09799
 99.0     9.23423     9.11891
100.0     9.25223     9.13983
101.0     9.27023     9.16075
102.0     9.28823     9.18167
103.0     9.30623     9.20258
104.0     9.32423     9.22350
105.0     9.34223     9.24442
106.0     9.36024     9.26534
107.0     9.37824     9.28626
108.0     9.39624     9.30717
109.0     9.41424     9.32809
110.0     9.43224     9.34901
111.0     9.45051     9.37089
112.0     9.47691     9.42180
113.0     9.50331     9.47270
114.0     9.52972     9.52361
115.0     9.55612     9.57451
116.0     9.58253     9.62542
117.0     9.60893     9.67632
118.0     9.63533     9.72723
119.0     9.66174     9.77813
120.0     9.68814     9.82904
121.0     9.71455     9.87994
122.0     9.74095     9.93085
123.0     9.76735     9.98175
124.0     9.79376     10.03266
125.0     9.82036     10.08229
126.0     9.85350     10.08985
127.0     9.88665     10.09740
128.0     9.91979     10.10496
129.0     9.95294     10.11252
130.0     9.98608     10.12007
131.0     10.01923     10.12763
132.0     10.05237     10.13518
133.0     10.08552     10.14274
134.0     10.11866     10.15029
135.0     10.15181     10.15785
136.0     10.18510     10.16635
137.0     10.22372     10.20886
138.0     10.26234     10.25138
139.0     10.30095     10.29389
140.0     10.33957     10.33640
141.0     10.37819     10.37891
142.0     10.41681     10.42142
143.0     10.45542     10.46393
144.0     10.49404     10.50645
145.0     10.53266     10.54896
146.0     10.57398     10.57963
147.0     10.61629     10.60597
148.0     10.65860     10.63232
149.0     10.70091     10.65866
150.0     10.74526     10.69298
151.0     10.79369     10.74323
152.0     10.84212     10.79349
153.0     10.89056     10.84374
154.0     10.93899     10.89400
155.0     10.98742     10.94425
156.0     11.03586     10.99451
157.0     11.08429     11.04476
158.0     11.13272     11.09502
159.0     11.18116     11.14527
160.0     11.22959     11.19553
161.0     11.27802     11.24578
162.0     11.32646     11.29604
163.0     11.37489     11.34629
164.0     11.42332     11.39655
165.0     11.47176     11.44680
166.0     11.52019     11.49706
167.0     11.56862     11.54731
168.0     11.61721     11.59770
169.0     11.67587     11.65697
170.0     11.73452     11.71623
171.0     11.79318     11.77549
172.0     11.85184     11.83475
173.0     11.91049     11.89402
174.0     11.96915     11.95328
175.0     12.02780     12.01254
176.0     12.08646     12.07180
177.0     12.14511     12.13107
178.0     12.20377     12.19033
179.0     12.26243     12.24959
180.0     12.32108     12.30885
181.0     12.37974     12.36812
182.0     12.43839     12.42738
183.0     12.49705     12.48664
184.0     12.55570     12.54590
185.0     12.61436     12.60517
186.0     12.67301     12.66443
187.0     12.73167     12.72369
188.0     12.79033     12.78295
189.0     12.84898     12.84222
190.0     12.90764     12.90148
191.0     12.96629     12.96074
192.0     13.02495     13.02000
193.0     13.08360     13.07927
194.0     13.14226     13.13853
195.0     13.20092     13.19779
196.0     13.25957     13.25705
197.0     13.31823     13.31632
198.0     13.37688     13.37558
199.0     13.43554     13.43484
200.0     13.49419     13.49410
201.0     13.55285     13.55337
202.0     13.61151     13.61263
203.0     13.67016     13.67189
204.0     13.72882     13.73115
205.0     13.78747     13.79042
206.0     13.84613     13.84968
207.0     13.90478     13.90894
208.0     13.96344     13.96820
209.0     14.02209     14.02747
210.0     14.08075     14.08673
211.0     14.13941     14.14599
212.0     14.19806     14.20525
213.0     14.25672     14.26452
214.0     14.31537     14.32378
215.0     14.37403     14.38304
216.0     14.43268     14.44230
217.0     14.49134     14.50157
218.0     14.55000     14.56083
219.0     14.60865     14.62009
220.0     14.66731     14.67935
