####################################################################################
#SPECIES_SHORT  SPEC_DENS   MOLAR_WEIGHT     T_DES   T_DESA    T_DESB     PART_FILE  
AMSIL           3.58        161.4            1300.    28030.    12.471     MIRAAmorfCDE.particle
AL2O3DHS        4.00        101.96           1500.    40720.    18.479     Alumina/Al2O3_0.001_0.3_-3.5_Koike1995_DHS_0.8.opac
FECDE           7.87        55.8             1400.    21542.    6.6715     Fe/Fe_a_CDE_size_0.1.opac
FEDHS03         7.87        55.8             1400.    21542.    6.6715     Fe/Fe_0.29-0.31_-3.5_DHS_0.8_henStogn1996.opac
FECDE001        7.87        55.8             1400.    21542.    6.6715     Fe/fe_0.01_0.01_-3.5_CDE.particle
FEMRN01         7.87        55.8             1400.    21542.    6.6715     Fe/fe_0.01_0.1_-3.5_DHS_0.8.opac
FEMRN1          7.87        55.8             1400.    21542.    6.6715     Fe/fe_0.01_1.0_-3.5_DHS_0.8.opac
FEMRN2          7.87        55.8             1400.    21542.    6.6715     Fe/fe_0.01_2.0_-3.5_DHS_0.8.opac
FEMRN5          7.87        55.8             1400.    21542.    6.6715     Fe/fe_0.01_5.0_-3.5_DHS_0.8.opac
FEMRN10         7.87        55.8             1400.    21542.    6.6715     Fe/fe_0.01_10.0_-3.5_DHS_0.8.opac
FORSTEMP        3.3         140.69           1150.    26091.    13.418     Forsterite/foSuto2006_0.01_0.01_-3.5_CDE.topac
FORSSUTO100     3.3         140.69           1150.    26091.    13.418     Forsterite/foSuto2006_100_0.01_0.01_-3.5_CDE.opac
FORSSUTO150DHS  3.3         140.69           1150.    26091.    13.418     Forsterite/foSuto2006_150_0.1_0.1_-3.5_DHS_0.8.particle
FORSSUTO150CDE  3.3         140.69           1150.    26091.    13.418     Forsterite/foSuto2006_150_0.01_0.01_-3.5_CDE.opac
FORSNTMRN01     3.3         140.69           1150.    26091.    13.418     Forsterite/fo150_0.01_0.1_-3.5_DHS_0.8.opac
FORSMRN01       3.3         140.69           1150.    26091.    13.418     Forsterite/fo_0.01_0.1_-3.5_DHS_0.8.topac
FORSMRN1        3.3         140.69           1150.    26091.    13.418     Forsterite/fo_0.01_1.0_-3.5_DHS_0.8.topac
FORSMRN2        3.3         140.69           1150.    26091.    13.418     Forsterite/fo_0.01_2.0_-3.5_DHS_0.8.topac
FORSMRN5        3.3         140.69           1150.    26091.    13.418     Forsterite/fo_0.01_5.0_-3.5_DHS_0.8.topac
FORSMRN10       3.3         140.69           1150.    26091.    13.418     Forsterite/fo_0.01_10.0_-3.5_DHS_0.8.topac
ENSTMRN01       2.80        100.39           1000.    0         0          Enstatite/en_0.01_0.1_-3.5_DHS_0.8.opac
